Customer Search Term,sum_of_the_spends,sum_of_the_sales,ACOS_mean
quartz face roller full set,0.49,23.32,0.021012006861063463
crystal stone face roller,0.4,11.66,0.03430531732418525
authentic jade face roller,0.43,11.66,0.03687821612349914
revolution face roller,0.45,11.66,0.038593481989708404
jade and gua sha,0.51,11.66,0.04373927958833619
jade face roller ldreamam,1.99,44.120000000000005,0.045104261106074336
lapis face roller,0.56,10.819999999999999,0.05175600739371535
jade face roller vibration,0.62,11.66,0.05317324185248713
real jade gua sha massage tool,0.92,15.82,0.05815423514538559
guasha stone face scraper,0.74,11.66,0.0634648370497427
stone face massager set,0.76,10.82,0.07024029574861368
face roller jade stone,0.88,11.66,0.07547169811320754
face roller turata,0.94,11.659999999999998,0.08061749571183534
real jade gua sha,1.9,23.32,0.08147512864493996
jade gua sha tool,0.95,11.66,0.08147512864493996
jade roller face roller,1.08,11.66,0.09262435677530018
b081w4d3rk,1.1,10.82,0.10166358595194086
face stone gua,1.22,11.66,0.104631217838765
gua sha jade roller,1.2799999999999998,11.66,0.10977701543739278
face roller and gua sha,2.62,23.32,0.11234991423670669
b08lvhykbb,1.27,10.82,0.11737523105360444
b07cty1w1d,1.37,11.659999999999998,0.1174957118353345
b07z6bjnhq,1.42,11.66,0.12178387650085762
face scraper,3.46,21.64,0.1598890942698706
b08lv36nq4,1.88,10.82,0.17375231053604434
face roller toner,2.2,11.66,0.18867924528301888
100% jade gua sha,2.44,10.82,0.2255083179297597
jade rollers for face,2.4699999999999998,10.82,0.22828096118299443
anti wrinkle,2.49,10.82,0.23012939001848431
jade gua sha stone,6.34,27.480000000000004,0.23071324599708876
gua sha and face roller,2.8899999999999997,11.66,0.24785591766723838
genuine jade face roller,2.93,11.66,0.25128644939965694
b08dg817wf,2.96,11.659999999999998,0.2538593481989709
jade face roller set,9.129999999999999,34.14,0.26742823667252485
gua sha roller,3.05,10.82,0.2818853974121996
gua sha and jade roller,3.0999999999999996,10.82,0.2865064695009242
b07rfrgd5n,3.44,11.66,0.2950257289879931
